" JOINT BILLION BRAZIL HOLDINGS LTDA "," PLAZA PREMIUM "," 07.575.651/0001-59 "
" JOINT BILLION BRAZIL HOLDINGS LTDA "," PLAZA PREMIUM "," 07.575.651/0001-59 "
" JOINT BILLION BRAZIL HOLDINGS LTDA "," PLAZA PREMIUM "," 07.575.651/0001-59 "
" JOINT BILLION BRAZIL HOLDINGS LTDA "," PLAZA PREMIUM "," 07.575.651/0001-59 "
" LOCALIZA RENT A CAR S/A "," Localiza ","015121040138-00"
" MOVIDA LOCAÇÃO DE VEÍCULOS LTDA "," Movida ","7976147/0021-04"
" UNIDAS LOCADORA DE VEÍCULOS LTDA "," Unidas ","01.079.210/0034-48"
"A ORIGINAL ARTEFATOS DE COURO LTDA","BAGAGGIO","33.035.098/0037-82"
"ABROLHOS RESTAURANTE LIMITADA","VIVENDA DO CAMARÃO","30.935.651/0001-34"
"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.","Estapar","60.537.263/0001-66"
"AMERICAN AIRLINES INC","AMERICAN AIRLINES","36.212.637/0004-31"
"AMSTERDAM SAUER JOALHEIROS LTDA","AMSTERDAM SAUER","33398975/0034-37"
"ARCOS DOURADOS COMERCIO DE ALIMENTOS LTDA.","MC DONALD'S","42.591.651.1797-98"
"ARCOS DOURADOS COMERCIO DE ALIMENTOS LTDA.","MC DONALD'S SORVETE","425916511806-13"
"AREAS ENERGIA POSITIVA LTDA ME","ENERGIA NATURAL","07.514.600/0003-89"
"ARTY DESIGN COMÉRCIO VAREJISTA LTDA - ME","ARTY RIO","262013970001-73"
"ARTY DESIGN COMÉRCIO VAREJISTA LTDA - ME","ARTY RIO","262013970001-73"
"ATOS PRODUTOS ALIMNETÍCIOS EIRLEI - ME","DELTA EXPRESSO","199656740007-44"
"ATOS PRODUTOS ALIMNETÍCIOS EIRLEI - ME","DELTA EXPRESSO","199656740008-25"
"ATOS PRODUTOS ALIMNETÍCIOS EIRLEI - ME","DELTA EXPRESSO","199656740009-06"
"ATUALIDADES ROUPAS E ACESSÓRIOS EIRELI - ME","BRASIL RIO","251085390001-90"
"AVIS BUDGET BRASIL S.A","Avis/Budget","11.455.816/0001-26"
"AZTER EMPREENDIMENTOS ALIMENTICI ","DELTA","21.279.432/0002-34"
"AZTER EMPREENDIMENTOS ALIMENTICIOS EIRELI","CASA DO PÃO  DE QUEIJO","212794320006-68"
"B V L R BITENCOURT COMERCIO DE JOIAS ME","EMPÓRIO DO AÇO","31.599.606/0001-19"
"B2F FAST FOOD EILERI - EPP","SUBWAY","223412710001-43"
"B2FD FAST FOOD EILERI - EPP","SUBWAY","242718750001-96"
"B2FI FAST FOOD LTDA","SUBWAY","242719200001-02"
"BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A","BURGER KING","135745940702-16"
