33035098003782,"A ORIGINAL ARTEFATOS DE COURO LTDA","BAGAGGIO"
30935651000134,"ABROLHOS RESTAURANTE LIMITADA","VIVENDA DO CAMARÃO"
00154642000145,"TAO LANCHONETE LTDA ME","PASTATORE - SPOLETTO"
00154642000226,"TAO LANCHONETE LTDA ME","BOB'S"
00154642000307,"TAO LANCHONETE LTDA ME","BOB'S"
01079201003448,"UNIDAS LOCADORA DE VEÍCULOS LTDA","Unidas"
01477605700515,"FAMA EMPREENDIMENTOS ALIMENTICIOS LTDA - EPP","CASA DO PÃO DE QUEIJO"
01490154700334,"MADU SPA LTDA","BUDDHA SPA"
01512104013800,"ESPAÇO DO BANHO E AROMAS LTDA","L'OCCITANE AU BRESIL"
01524494000338,"ZM COMERCIO DE BIJOUTERIAS LTDA ME","EHVEN"
01524494000419,"ZM COMERCIO DE BIJUTERIAS LTDA - ME","EHVEN PEDRAS"
02995356900004,"HLE ENTRETENIMENTO E ALIMENTAÇÃO LTDA - ME","EMPÓRIO AVIAÇÃO"
03461437000200,"GALEÃO COFFE SHOP COM. DE RESTAURANTES BARES E LANCHONETES","GALEÃO COFFE SHOP"
04101512000286,"TUIA MAÇA COMÉRCIO DELICATESSEN LTDA","KAFÉ"
04447124000502,"MALEX DO BRASIL IND. COM E SERVIÇO DE GUARDA MALAS LTDA","MALEX"
07194670000488,"TURURI ARTESANATO LDTA. - EPP","MARIA OITICICA BIOJOIAS"
07514600000389,"AREAS ENERGIA POSITIVA LTDA ME","ENERGIA NATURAL"
07575651000159,"GOL LINHAS AÉREAS S.A","GOL - PLAZA PREMIUM"
07976147002104,"MOVIDA LOCAÇÃO DE VEÍCULOS LTDA","Movida"
07984267010849,"STARBUCKS BRASIL COMÉRCIO DE CAFÉS LTDA","STARBUCKS COFFE"
07984267012892,"STARBUCKS BRASIL COMÉRCIO DE CAFÉS LTDA","STARBUCKS COFFE"
08743025005237,"JESMOND COMERCIO VAREJISTA LTDA","GRANADO PHARMACIAS"
08743025007280,"JESMOND COMERCIO VAREJISTA LTDA","GRANADO PHARMACIAS"
08846589000236,"EXACTTA GROUP, SERV.COMUN.,PROT.DE BAGAGENS E AFINS SERV.DE PUBLICITARIOS E IMPORT. E EXPORT. LTDA - EPP","EXACTTA"
08912886000666,"JIN AND JANE COMERCIO DE COUROS E VESTUARIO LTDA","MR CAT"
09489189000445,"ZIMBRO CAFÉ E CHOCOLATE LTDA. - EPP","CHOCOLATE Q"
11205508000304,"JJ PÁTIO BAR E RESTAURANTE LTDA - EPP","PALHETA (LANCHONETE POPULAR)"
11455816000126,"AVIS BUDGET BRASIL S.A","Avis/Budget"
13257648007879,"SGH BRASIL COMERCIO DE OCULOS LTDA.","SUNGLASS HUT INTERNACIONAL"
